# Region type : patch outlet
# Faces         : 4
# Area          : 1.00000000e-02
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(T)
0.5             	2.03616755e-161
1               	1.54788321e-150
1.5             	3.16007453e-142
2               	2.27150596e-135
2.5             	1.73655546e-129
3               	2.58922451e-124
3.5             	1.09717413e-119
4               	1.70169105e-115
4.5             	1.15622191e-111
5               	3.93154462e-108
5.5             	7.40731658e-105
6               	8.37598718e-102
6.5             	6.06045000e-99
7               	2.95637749e-96
7.5             	1.01529097e-93
8               	2.54538882e-91
8.5             	4.80410032e-89
9               	7.00816225e-87
9.5             	7.03869812e-85
10              	5.41233417e-83
10.5            	3.65286676e-81
11              	2.17811545e-79
11.5            	1.14462311e-77
12              	5.27882009e-76
12.5            	2.13352117e-74
13              	7.57215564e-73
13.5            	2.37036876e-71
14              	6.58203400e-70
14.5            	1.63135116e-68
15              	3.63143740e-67
15.5            	7.30367969e-66
16              	1.33463359e-64
16.5            	2.22735307e-63
17              	3.41116172e-62
17.5            	4.81530574e-61
18              	6.29118320e-60
18.5            	7.63618121e-59
19              	8.64144144e-58
19.5            	9.14715190e-57
20              	9.08451402e-56
20.5            	8.48928917e-55
21              	7.48430574e-54
21.5            	6.24057989e-53
22              	4.93294617e-52
22.5            	3.70465893e-51
23              	2.64877822e-50
23.5            	1.80651153e-49
24              	1.17740856e-48
24.5            	7.34604270e-48
25              	4.39467074e-47
25.5            	2.52472495e-46
26              	1.39491899e-45
26.5            	7.42215681e-45
27              	3.80825053e-44
27.5            	1.88657587e-43
28              	9.03417674e-43
28.5            	4.18654165e-42
29              	1.87948212e-41
29.5            	8.18235467e-41
30              	3.45777249e-40
30.5            	1.41969103e-39
31              	5.66831075e-39
31.5            	2.20263129e-38
32              	8.33696791e-38
32.5            	3.07600673e-37
33              	1.10713249e-36
33.5            	3.89002072e-36
34              	1.33517539e-35
34.5            	4.47961652e-35
35              	1.47004323e-34
35.5            	4.72134744e-34
36              	1.48490276e-33
36.5            	4.57579111e-33
37              	1.38229650e-32
37.5            	4.09567092e-32
38              	1.19083455e-31
38.5            	3.39927361e-31
39              	9.53075795e-31
39.5            	2.62582954e-30
40              	7.11193424e-30
40.5            	1.89438786e-29
41              	4.96457076e-29
41.5            	1.28053631e-28
42              	3.25206784e-28
42.5            	8.13466243e-28
43              	2.00484727e-27
43.5            	4.87000630e-27
44              	1.16633731e-26
44.5            	2.75486716e-26
45              	6.41933605e-26
45.5            	1.47611260e-25
46              	3.35051675e-25
46.5            	7.50907121e-25
47              	1.66210449e-24
47.5            	3.63446201e-24
48              	7.85308560e-24
48.5            	1.67712085e-23
49              	3.54090726e-23
49.5            	7.39248185e-23
50              	1.52646897e-22
50.5            	3.11818168e-22
51              	6.30262737e-22
51.5            	1.26077367e-21
52              	2.49651369e-21
52.5            	4.89435833e-21
53              	9.50175738e-21
53.5            	1.82699623e-20
54              	3.47995760e-20
